input_clean Freq
1412 member 104
1413 photos 104
1414 station 104
1415 teaching 104
1416 view 104
1417 although 103
1418 bday 103
1419 bigger 103
1420 block 103
1421 cd 103
1422 closed 103
1423 county 103
1424 feed 103
1425 fox 103
1426 incredible 103
1427 killing 103
1428 matt 103
1429 miles 103
1430 nope 103
1431 rich 103
1432 schools 103
1433 shall 103
1434 successful 103
1435 thanksgiving 103
1436 alot 102
1437 artists 102
1438 deserve 102
1439 jack 102
1440 kiss 102
1441 loss 102
1442 sales 102
1443 science 102
1444 trade 102
1445 woo 102
1446 90 101
1447 classic 101
1448 currently 101
1449 dirty 101
1450 homie 101
1451 ima 101
1452 places 101
1453 presentation 101
1454 scared 101
1455 shots 101
1456 somewhere 101
1457 talked 101
1458 themselves 101
1459 beyond 100
1460 character 100
1461 dogs 100
1462 h 100
1463 happiness 100
1464 lights 100
1465 named 100
1466 tax 100
1467 teach 100
1468 thinks 100
1469 99 99
1470 blame 99
1471 butt 99
1472 channel 99
1473 crew 99
1474 honor 99
1475 opinion 99
1476 pack 99
1477 police 99
1478 portland 99
1479 trending 99
1480 changes 98
1481 checking 98
1482 clear 98
1483 connect 98
1484 court 98
1485 everywhere 98
1486 gettin 98
1487 scary 98
1488 thankful 98
1489 washington 98
1490 wat 98
1491 39 97
1492 access 97
1493 babe 97
1494 camp 97
1495 comment 97
1496 current 97
1497 finals 97
1498 golf 97
1499 husband 97
1500 kidding 97
1501 marriage 97
1502 plays 97
1503 smoke 97
1504 suggestions 97
1505 camera 96
1506 crowd 96
1507 inspiration 96
1508 laughing 96
1509 madison 96
1510 pro 96
1511 screen 96
1512 smith 96
1513 spending 96
1514 third 96
1515 xo 96
1516 handle 95
1517 services 95
1518 shooting 95
1519 states 95
1520 tips 95
1521 tree 95
1522 university 95
1523 bless 94
1524 campus 94
1525 cleaning 94
1526 decide 94
1527 doin 94
1528 ed 94
1529 fish 94
1530 fit 94
1531 george 94
1532 glass 94
1533 indeed 94
1534 jersey 94
1535 mess 94
1536 present 94
1537 sigh 94
1538 turns 94
1539 weight 94
1540 added 93
1541 challenge 93
1542 click 93
1543 earlier 93
1544 hmm 93
1545 involved 93
1546 ive 93
1547 nite 93
1548 playoffs 93
1549 romney 93
1550 stick 93
1551 stopped 93
1552 term 93
1553 window 93
1554 45 92
1555 80 92
1556 airport 92
1557 arts 92
1558 baltimore 92
1559 blood 92
1560 gas 92
1561 harry 92
1562 higher 92
1563 joy 92
1564 knowledge 92
1565 oil 92
1566 print 92
1567 restaurant 92
1568 rule 92
1569 rules 92
1570 sunny 92
1571 500 91
1572 asap 91
1573 blow 91
1574 ca 91
1575 client 91
1576 def 91
1577 ends 91
1578 feature 91
1579 hockey 91
1580 moved 91
1581 ohio 91
1582 org 91
1583 projects 91
1584 response 91
1585 stars 91
1586 tebow 91
1587 technology 91
1588 value 91
1589 wild 91
1590 within 91
1591 button 90
1592 closer 90
1593 consider 90
1594 feelings 90
1595 follower 90
1596 french 90
1597 garden 90
1598 general 90
1599 location 90
1600 midnight 90
1601 museum 90
1602 older 90
1603 passed 90
1604 role 90
1605 spread 90
1606 ten 90
1607 updates 90
1608 waste 90
1609 wings 90
1610 youth 90
1611 8pm 89
1612 author 89
1613 bringing 89
1614 cats 89
1615 cost 89
1616 enter 89
1617 grand 89
1618 holding 89
1619 hunger 89
1620 including 89
1621 industry 89
1622 jazz 89
1623 latest 89
1624 names 89
1625 specials 89
1626 title 89
1627 wrote 89
1628 bieber 88
1629 bucks 88
1630 girlfriend 88
1631 hill 88
1632 known 88
1633 mostly 88
1634 natural 88
1635 net 88
1636 pool 88
1637 productive 88
1638 results 88
1639 staying 88
1640 culture 87
1641 easier 87
1642 epic 87
1643 goals 87
1644 gotten 87
1645 hitting 87
1646 holidays 87
1647 jim 87
1648 jump 87
1649 machine 87
1650 married 87
1651 menu 87
1652 normal 87
1653 orange 87
1654 pair 87
1655 parking 87
1656 promise 87
1657 shower 87
1658 speech 87
1659 status 87
1660 storm 87
1661 truck 87
1662 annual 86
1663 avengers 86
1664 ben 86
1665 biz 86
1666 cousin 86
1667 flying 86
1668 interest 86
1669 knowing 86
1670 lame 86
1671 lazy 86
1672 perhaps 86
1673 scene 86
1674 several 86
1675 shirts 86
1676 whenever 86
1677 wisconsin 86
1678 xoxo 86
1679 2010 85
1680 anywhere 85
1681 awful 85
1682 bulls 85
1683 guitar 85
1684 heads 85
1685 heaven 85
1686 jam 85
1687 jones 85
1688 lake 85
1689 likely 85
1690 mon 85
1691 numbers 85
1692 pink 85
1693 rose 85
1694 santa 85
1695 size 85
1696 topic 85
1697 usa 85
1698 whether 85
1699 30pm 84
1700 ad 84
1701 atlanta 84
1702 bacon 84
1703 bank 84
1704 continue 84
1705 helps 84
1706 private 84
1707 prom 84
1708 quiet 84
1709 receive 84
1710 runs 84
1711 trend 84
1712 60 83
1713 al 83
1714 anniversary 83
1715 attack 83
1716 awww 83
1717 beginning 83
1718 brings 83
1719 central 83
1720 coast 83
1721 corner 83
1722 discussion 83
1723 dying 83
1724 imma 83
1725 instagram 83
1726 lies 83
1727 panel 83
1728 ran 83
1729 rangers 83
1730 spirit 83
1731 talented 83
1732 tix 83
1733 22 82
1734 anytime 82
1735 bottle 82
1736 chill 82
1737 feedback 82
1738 fool 82
1739 form 82
1740 growing 82
1741 hahah 82
1742 jk 82
1743 launch 82
1744 marathon 82
1745 merry 82
1746 nick 82
1747 noticed 82
1748 products 82
1749 rocks 82
1750 scott 82
1751 seconds 82
1752 texting 82
1753 begins 81
1754 bob 81
1755 cancer 81
1756 chick 81
1757 fabulous 81
1758 favor 81
1759 fighting 81
1760 fingers 81
1761 jason 81
1762 lounge 81
1763 picked 81
1764 related 81
1765 row 81
1766 seat 81
1767 shame 81
1768 sky 81
1769 tears 81
1770 tonite 81
1771 23 80
1772 33 80
1773 bird 80
1774 butter 80
1775 cooking 80
1776 copy 80
1777 customers 80
1778 daddy 80
1779 falling 80
1780 former 80
1781 gov 80
1782 heck 80
1783 himself 80
1784 hip 80
1785 hollywood 80
1786 host 80
1787 include 80
1788 kitchen 80
1789 large 80
1790 pray 80
1791 quickly 80
1792 starbucks 80
1793 sum 80
1794 tim 80
1795 walked 80
1796 whoa 80
1797 angry 79
1798 apps 79
1799 balls 79
1800 california 79
1801 checked 79
1802 cookies 79
1803 defense 79
1804 doesnt 79
1805 dope 79
1806 fill 79
1807 josh 79
1808 kno 79
1809 lack 79
1810 legs 79
1811 ridiculous 79
1812 sleepy 79
1813 spanish 79
1814 sugar 79
1815 tool 79
1816 yummy 79
1817 27 78
1818 beats 78
1819 candy 78
1820 cars 78
1821 cast 78
1822 certain 78
1823 clearly 78
1824 clients 78
1825 clock 78
1826 correct 78
1827 diet 78
1828 effort 78
1829 excuse 78
1830 faith 78
1831 famous 78
1832 harder 78
1833 irish 78
1834 land 78
1835 letting 78
1836 mary 78
1837 neighborhood 78
1838 nervous 78
1839 quit 78
1840 recommend 78
1841 robert 78
1842 ron 78
1843 standing 78
1844 timeline 78
1845 wind 78
1846 alex 77
1847 amen 77
1848 babies 77
1849 bread 77
1850 burn 77
1851 buying 77
1852 gold 77
1853 hashtag 77
1854 island 77
1855 none 77
1856 pissed 77
1857 plane 77
1858 plz 77
1859 selling 77
1860 sometime 77
1861 soup 77
1862 tells 77
1863 valentine 77
1864 adult 76
1865 awards 76
1866 confused 76
1867 cook 76
1868 disney 76
1869 drama 76
1870 halloween 76
1871 hasn 76
1872 indy 76
1873 pie 76
1874 suppose 76
