"input_clean" "Freq"
"678" "neighborhood" 24
"679" "o" 24
"680" "paid" 24
"681" "paul" 24
"682" "plant" 24
"683" "potential" 24
"684" "residents" 24
"685" "rock" 24
"686" "seasons" 24
"687" "sent" 24
"688" "share" 24
"689" "shows" 24
"690" "spending" 24
"691" "student" 24
"692" "victory" 24
"693" "war" 24
"694" "watch" 24
"695" "yards" 24
"696" "29" 23
"697" "45" 23
"698" "add" 23
"699" "afternoon" 23
"700" "art" 23
"701" "avenue" 23
"702" "bank" 23
"703" "calls" 23
"704" "cities" 23
"705" "class" 23
"706" "clear" 23
"707" "dr" 23
"708" "either" 23
"709" "especially" 23
"710" "foot" 23
"711" "force" 23
"712" "front" 23
"713" "further" 23
"714" "hearing" 23
"715" "higher" 23
"716" "inc" 23
"717" "include" 23
"718" "leave" 23
"719" "mayor" 23
"720" "pass" 23
"721" "quickly" 23
"722" "reason" 23
"723" "research" 23
"724" "romney" 23
"725" "rose" 23
"726" "sen" 23
"727" "spot" 23
"728" "stop" 23
"729" "test" 23
"730" "tough" 23
"731" "tv" 23
"732" "williams" 23
"733" "23" 22
"734" "action" 22
"735" "available" 22
"736" "bar" 22
"737" "buy" 22
"738" "current" 22
"739" "de" 22
"740" "development" 22
"741" "difficult" 22
"742" "door" 22
"743" "everything" 22
"744" "fine" 22
"745" "husband" 22
"746" "kids" 22
"747" "mike" 22
"748" "named" 22
"749" "officer" 22
"750" "opened" 22
"751" "opening" 22
"752" "person" 22
"753" "phone" 22
"754" "r" 22
"755" "raised" 22
"756" "rate" 22
"757" "reach" 22
"758" "region" 22
"759" "saw" 22
"760" "serious" 22
"761" "smith" 22
"762" "social" 22
"763" "southern" 22
"764" "spring" 22
"765" "stock" 22
"766" "teachers" 22
"767" "tell" 22
"768" "thomas" 22
"769" "tickets" 22
"770" "vote" 22
"771" "whole" 22
"772" "wife" 22
"773" "works" 22
"774" "28" 21
"775" "americans" 21
"776" "association" 21
"777" "attention" 21
"778" "bad" 21
"779" "born" 21
"780" "businesses" 21
"781" "club" 21
"782" "created" 21
"783" "daughter" 21
"784" "debt" 21
"785" "decade" 21
"786" "despite" 21
"787" "died" 21
"788" "example" 21
"789" "fell" 21
"790" "funds" 21
"791" "gas" 21
"792" "gets" 21
"793" "groups" 21
"794" "guys" 21
"795" "helped" 21
"796" "insurance" 21
"797" "interest" 21
"798" "interview" 21
"799" "judge" 21
"800" "july" 21
"801" "maryland" 21
"802" "medical" 21
"803" "moving" 21
"804" "pretty" 21
"805" "problem" 21
"806" "role" 21
"807" "soon" 21
"808" "square" 21
"809" "stay" 21
"810" "step" 21
"811" "table" 21
"812" "texas" 21
"813" "total" 21
"814" "tour" 21
"815" "tried" 21
"816" "turn" 21
"817" "wine" 21
"818" "worth" 21
"819" "www" 21
"820" "26" 20
"821" "95" 20
"822" "above" 20
"823" "ahead" 20
"824" "band" 20
"825" "brown" 20
"826" "built" 20
"827" "chairman" 20
"828" "charles" 20
"829" "continue" 20
"830" "couple" 20
"831" "details" 20
"832" "dinner" 20
"833" "donâ" 20
"834" "downtown" 20
"835" "effort" 20
"836" "failed" 20
"837" "families" 20
"838" "floor" 20
"839" "florida" 20
"840" "focus" 20
"841" "giving" 20
"842" "goal" 20
"843" "gone" 20
"844" "governor" 20
"845" "happy" 20
"846" "j" 20
"847" "knew" 20
"848" "land" 20
"849" "leaders" 20
"850" "leading" 20
"851" "level" 20
"852" "looks" 20
"853" "martin" 20
"854" "message" 20
"855" "needs" 20
"856" "network" 20
"857" "nfl" 20
"858" "offer" 20
"859" "order" 20
"860" "performance" 20
"861" "portland" 20
"862" "production" 20
"863" "race" 20
"864" "result" 20
"865" "results" 20
"866" "robert" 20
"867" "save" 20
"868" "shooting" 20
"869" "single" 20
"870" "space" 20
"871" "sports" 20
"872" "statement" 20
"873" "store" 20
"874" "taxes" 20
"875" "technology" 20
"876" "toward" 20
"877" "town" 20
"878" "visit" 20
"879" "35" 19
"880" "act" 19
"881" "agreed" 19
"882" "biggest" 19
"883" "bring" 19
"884" "check" 19
"885" "comment" 19
"886" "commission" 19
"887" "contract" 19
"888" "expect" 19
"889" "finished" 19
"890" "following" 19
"891" "hand" 19
"892" "homes" 19
"893" "immediately" 19
"894" "included" 19
"895" "injury" 19
"896" "involved" 19
"897" "justice" 19
"898" "living" 19
"899" "loss" 19
"900" "parents" 19
"901" "plus" 19
"902" "position" 19
"903" "question" 19
"904" "rather" 19
"905" "rep" 19
"906" "review" 19
"907" "seen" 19
"908" "sell" 19
"909" "sex" 19
"910" "situation" 19
"911" "sometimes" 19
"912" "spend" 19
"913" "spokesman" 19
"914" "sun" 19
"915" "takes" 19
"916" "teams" 19
"917" "tom" 19
"918" "track" 19
"919" "traffic" 19
"920" "training" 19
"921" "27" 18
"922" "accused" 18
"923" "additional" 18
"924" "administration" 18
"925" "allow" 18
"926" "allowed" 18
"927" "angeles" 18
"928" "arts" 18
"929" "becomes" 18
"930" "beyond" 18
"931" "blazers" 18
"932" "boys" 18
"933" "capital" 18
"934" "changed" 18
"935" "charges" 18
"936" "cheese" 18
"937" "competition" 18
"938" "culture" 18
"939" "cup" 18
"940" "data" 18
"941" "december" 18
"942" "driver" 18
"943" "ended" 18
"944" "everyone" 18
"945" "fall" 18
"946" "favorite" 18
"947" "feb" 18
"948" "fifth" 18
"949" "film" 18
"950" "fresh" 18
"951" "fun" 18
"952" "hands" 18
"953" "happen" 18
"954" "hear" 18
"955" "hospital" 18
"956" "hour" 18
"957" "joe" 18
"958" "kitchen" 18
"959" "la" 18
"960" "limited" 18
"961" "lives" 18
"962" "longer" 18
"963" "los" 18
"964" "marijuana" 18
"965" "marriage" 18
"966" "maybe" 18
"967" "museum" 18
"968" "offered" 18
"969" "officers" 18
"970" "online" 18
"971" "owners" 18
"972" "parts" 18
"973" "patients" 18
"974" "post" 18
"975" "press" 18
"976" "previous" 18
"977" "products" 18
"978" "remain" 18
"979" "rest" 18
"980" "revenue" 18
"981" "ryan" 18
"982" "sale" 18
"983" "scheduled" 18
"984" "sept" 18
"985" "served" 18
"986" "signed" 18
"987" "sleep" 18
"988" "stage" 18
"989" "steve" 18
"990" "tonight" 18
"991" "trade" 18
"992" "trial" 18
"993" "valley" 18
"994" "vehicle" 18
"995" "wall" 18
"996" "wrote" 18
"997" "access" 17
"998" "airport" 17
"999" "approved" 17
"1000" "aren" 17
"1001" "beach" 17
"1002" "begin" 17
"1003" "bit" 17
"1004" "build" 17
"1005" "cash" 17
"1006" "common" 17
"1007" "continued" 17
"1008" "critical" 17
"1009" "democrats" 17
"1010" "efforts" 17
"1011" "faces" 17
"1012" "fact" 17
"1013" "hotel" 17
"1014" "idea" 17
"1015" "inside" 17
"1016" "january" 17
"1017" "lake" 17
"1018" "language" 17
"1019" "lawmakers" 17
"1020" "leader" 17
"1021" "leadership" 17
"1022" "legal" 17
"1023" "legislation" 17
"1024" "losing" 17
"1025" "middle" 17
"1026" "military" 17
"1027" "mind" 17
"1028" "ocean" 17
"1029" "planning" 17
"1030" "plays" 17
"1031" "problems" 17
"1032" "prosecutor" 17
"1033" "questions" 17
"1034" "raise" 17
"1035" "reached" 17
"1036" "republicans" 17
"1037" "restaurant" 17
"1038" "rights" 17
"1039" "risk" 17
"1040" "route" 17
"1041" "showed" 17
"1042" "style" 17
"1043" "throughout" 17
"1044" "wide" 17
"1045" "2006" 16
"1046" "300" 16
"1047" "address" 16
"1048" "agent" 16
"1049" "agreement" 16
"1050" "areas" 16
"1051" "arrested" 16
"1052" "ask" 16
"1053" "assists" 16
"1054" "authorities" 16
"1055" "base" 16
"1056" "basketball" 16
"1057" "blues" 16
"1058" "brother" 16
"1059" "cars" 16
"1060" "certainly" 16
"1061" "changes" 16
"1062" "color" 16
"1063" "commissioner" 16
"1064" "create" 16
"1065" "criminal" 16
"1066" "customers" 16
"1067" "direction" 16
"1068" "double" 16
"1069" "edge" 16
"1070" "extra" 16
"1071" "fair" 16
"1072" "filed" 16
"1073" "girl" 16
"1074" "girls" 16
"1075" "huge" 16
"1076" "hundreds" 16
"1077" "improve" 16
"1078" "itself" 16
"1079" "jackson" 16
"1080" "jail" 16
"1081" "johnson" 16
"1082" "leaving" 16
"1083" "lower" 16
"1084" "mexico" 16
"1085" "miles" 16
"1086" "newark" 16
"1087" "noon" 16
"1088" "normal" 16
"1089" "northern" 16
"1090" "noted" 16
"1091" "older" 16
"1092" "orange" 16
"1093" "owner" 16
"1094" "perhaps" 16
"1095" "planned" 16
"1096" "prices" 16
"1097" "product" 16
"1098" "professional" 16
"1099" "protection" 16
"1100" "regular" 16
"1101" "reports" 16
"1102" "richard" 16
"1103" "seem" 16
"1104" "serve" 16
"1105" "sign" 16
"1106" "speed" 16
"1107" "stadium" 16
"1108" "stand" 16
"1109" "study" 16
"1110" "themselves" 16
"1111" "title" 16
"1112" "travel" 16
"1113" "word" 16
"1114" "younger" 16
"1115" "200" 15
"1116" "32" 15
"1117" "38" 15
"1118" "46" 15
"1119" "ability" 15
"1120" "addition" 15
"1121" "arrived" 15
"1122" "balance" 15
"1123" "blue" 15
"1124" "border" 15
"1125" "bowl" 15
"1126" "calling" 15
"1127" "candidate" 15
"1128" "citizens" 15
"1129" "civil" 15
"1130" "clean" 15
"1131" "congress" 15
"1132" "consumer" 15
"1133" "contact" 15
"1134" "credit" 15
"1135" "crime" 15
"1136" "currently" 15
"1137" "daily" 15
"1138" "defensive" 15
"1139" "diego" 15
